Date,Raw_Turbidity,Raw_PH,Raw_Colour,PAC,KMnO4,ACD,Turbidity,PH,Colour
31/12/2019,90.4,7.07,500,2.5,0.4,0.5,19,7.07,48
31/12/2019,90.4,7.07,500,3,0.4,0.5,14.2,7.05,39
31/12/2019,90.4,7.07,500,3.5,0.4,0.5,12.6,7.02,31
31/12/2019,90.4,7.07,500,4,0.4,0.5,10.6,6.98,27
31/12/2019,90.4,7.07,500,4.5,0.4,0.5,10.7,6.93,29
31/12/2019,90.4,7.07,500,5,0.4,0.5,13.6,6.9,34
31/12/2019,45.5,6.98,375,2.5,0.25,0.35,19,7.12,32
31/12/2019,45.5,6.98,375,3,0.25,0.35,10,7.25,19
31/12/2019,45.5,6.98,375,3.5,0.25,0.35,14,7.26,21
31/12/2019,45.5,6.98,375,4,0.25,0.35,18,7.29,24
31/12/2019,45.5,6.98,375,4.5,0.25,0.35,27,7.22,30
31/12/2019,45.5,6.98,375,5,0.25,0.35,36,7.19,49
30/12/2019,23.2,6.99,298,2,0.25,0.35,21,7,30
30/12/2019,23.2,6.99,298,2.5,0.25,0.35,15,7.09,27
30/12/2019,23.2,6.99,298,3,0.25,0.35,9,7.25,17
30/12/2019,23.2,6.99,298,3.5,0.25,0.35,13,7.28,21
30/12/2019,23.2,6.99,298,4,0.25,0.35,19,7.19,25
30/12/2019,23.2,6.99,298,4.5,0.25,0.35,28,7.12,39
30/12/2019,21.1,7.01,310,2.5,0.25,0.35,11,7,23
30/12/2019,21.1,7.01,310,3,0.25,0.35,9,6.99,20
30/12/2019,21.1,7.01,310,3.5,0.25,0.35,13,7.01,29
30/12/2019,21.1,7.01,310,4,0.25,0.35,12,7.02,31
30/12/2019,21.1,7.01,310,4.5,0.25,0.35,14,7.03,33
30/12/2019,21.1,7.01,310,5,0.25,0.35,16,7.04,35
29/12/2019,33,7.1,390,2.5,0.25,0.35,18,7.1,43
29/12/2019,33,7.1,390,3,0.25,0.35,19,6.99,31
29/12/2019,33,7.1,390,3.5,0.25,0.35,11,6.99,22
29/12/2019,33,7.1,390,4,0.25,0.35,20,7.01,53
29/12/2019,33,7.1,390,4.5,0.25,0.35,21,7.02,59
29/12/2019,33,7.1,390,5,0.25,0.35,22,7.03,66
28/12/2019,21.9,7,300,2.5,0.25,0.35,16,6.99,53
28/12/2019,21.9,7,300,3,0.25,0.35,12,6.98,48
28/12/2019,21.9,7,300,3.5,0.25,0.35,9,6.97,19
28/12/2019,21.9,7,300,4,0.25,0.35,11,6.99,22
28/12/2019,21.9,7,300,4.5,0.25,0.35,18,7.01,31
28/12/2019,21.9,7,300,5,0.25,0.35,19,7.02,39
28/12/2019,24.9,7.01,299,2.5,0.25,0.35,27,7.02,86
28/12/2019,24.9,7.01,299,3,0.25,0.35,17,7.1,25
28/12/2019,24.9,7.01,299,3.5,0.25,0.35,9,7.25,14
28/12/2019,24.9,7.01,299,4,0.25,0.35,14,7.23,19
28/12/2019,24.9,7.01,299,4.5,0.25,0.35,19,7.21,25
28/12/2019,24.9,7.01,299,5,0.25,0.35,25,7.18,32
27/12/2019,25,7.03,300,2.5,0.25,0.35,5.1,7.1,31
27/12/2019,25,7.03,300,3,0.25,0.35,4.2,7.11,22
27/12/2019,25,7.03,300,3.5,0.25,0.35,2.05,7.15,19
27/12/2019,25,7.03,300,4,0.25,0.35,3.01,7.31,18
27/12/2019,25,7.03,300,4.5,0.25,0.35,2.9,7.21,25
27/12/2019,25,7.03,300,5,0.25,0.35,4,7.09,32
27/12/2019,24.2,7.01,298,2.5,0.25,0.35,4.48,7.03,29
27/12/2019,24.2,7.01,298,3,0.25,0.35,3.25,7.05,19
27/12/2019,24.2,7.01,298,3.5,0.25,0.35,2.03,7.23,15
27/12/2019,24.2,7.01,298,4,0.25,0.35,2.48,7.28,21
27/12/2019,24.2,7.01,298,4.5,0.25,0.35,2.99,7.22,25
27/12/2019,24.2,7.01,298,5,0.25,0.35,5.32,7.09,32
26/12/2019,27.5,7.05,309,3.5,0.3,0.65,17,7.09,36
26/12/2019,27.5,7.05,309,4,0.3,0.65,12,7.15,31
26/12/2019,27.5,7.05,309,4.5,0.3,0.65,9,7.24,25
26/12/2019,27.5,7.05,309,5,0.3,0.65,14,7.22,29
26/12/2019,27.5,7.05,309,5.5,0.3,0.65,19,7.19,37
26/12/2019,27.5,7.05,309,6,0.3,0.65,28,7.17,42
25/12/2019,26.9,7.07,328,2.5,0.4,0.35,15.2,7.05,43
25/12/2019,26.9,7.07,328,3,0.4,0.35,13.6,7.03,39
25/12/2019,26.9,7.07,328,3.5,0.4,0.35,10.7,7,29
25/12/2019,26.9,7.07,328,4,0.4,0.35,8.67,6.99,26
25/12/2019,26.9,7.07,328,4.5,0.4,0.35,9.66,6.98,27
25/12/2019,26.9,7.07,328,5,0.4,0.35,10.2,6.96,31
24/12/2019,33,7.02,321,3.5,0.4,0.35,22,6.97,25
24/12/2019,33,7.02,321,4,0.4,0.35,16,7,19
24/12/2019,33,7.02,321,4.5,0.4,0.35,10,7.25,13
24/12/2019,33,7.02,321,5,0.4,0.35,15,7.23,18
24/12/2019,33,7.02,321,5.5,0.4,0.35,21,7.09,20
24/12/2019,33,7.02,321,6,0.4,0.35,24,7.03,28
23/12/2019,53,6.99,500,3,0.5,0.35,22,6.99,73
23/12/2019,53,6.99,500,3.5,0.5,0.35,14,6.53,66
23/12/2019,53,6.99,500,4,0.5,0.35,18,6.56,55
23/12/2019,53,6.99,500,4.5,0.5,0.35,15,6.97,50
23/12/2019,53,6.99,500,5,0.5,0.35,9,6.98,49
23/12/2019,53,6.99,500,5.5,0.5,0.35,11,6.59,53
22/12/2019,49.1,7.1,399,2.5,0.4,0.35,21,7.1,62
22/12/2019,49.1,7.1,399,3,0.4,0.35,19.3,7.11,52
22/12/2019,49.1,7.1,399,3.5,0.4,0.35,14.1,7.06,43
22/12/2019,49.1,7.1,399,4,0.4,0.35,13.1,7.08,19
22/12/2019,49.1,7.1,399,4.5,0.4,0.35,8.9,7.09,21
22/12/2019,49.1,7.1,399,5,0.4,0.35,10.1,7.08,35
21/12/2019,82.1,6.87,500,3,0.45,0.35,34,6.9,57
21/12/2019,82.1,6.87,500,3.5,0.45,0.35,28,6.96,52
21/12/2019,82.1,6.87,500,4,0.45,0.35,21,6.92,46
21/12/2019,82.1,6.87,500,4.5,0.45,0.35,17,6.87,36
21/12/2019,82.1,6.87,500,5,0.45,0.35,16,6.87,29
21/12/2019,82.1,6.87,500,5.5,0.45,0.35,12,6.86,23
20/12/2019,480,7.01,500,3.5,0.45,0.75,45,7.52,59
20/12/2019,480,7.01,500,4,0.45,0.75,38,7.36,45
20/12/2019,480,7.01,500,4.5,0.45,0.75,22,7.23,32
20/12/2019,480,7.01,500,5,0.45,0.75,38,6.98,48
20/12/2019,480,7.01,500,5.5,0.45,0.75,29,6.92,56
20/12/2019,480,7.01,500,6,0.45,0.75,43,6.95,72
19/12/2019,110,7.32,500,3.5,0.5,0.65,32,7.01,43
19/12/2019,110,7.32,500,4,0.5,0.65,20,7.23,25
19/12/2019,110,7.32,500,4.5,0.5,0.65,45,6.98,58
19/12/2019,110,7.32,500,5,0.5,0.65,52,6.83,63
19/12/2019,110,7.32,500,5.5,0.5,0.65,38,6.72,49
19/12/2019,110,7.32,500,6,0.5,0.65,36,6.88,50
18/12/2019,496,7.42,500,5,0.42,0.75,37.6,7.26,220
18/12/2019,496,7.42,500,5.5,0.42,0.75,17.2,7.23,102
18/12/2019,496,7.42,500,6,0.42,0.75,14.6,7.21,94
18/12/2019,496,7.42,500,6.5,0.42,0.75,16.2,7.2,98
18/12/2019,496,7.42,500,7,0.42,0.75,70.2,7.18,140
18/12/2019,496,7.42,500,7.5,0.42,0.75,89.6,7.16,167
17/12/2019,271,7.4,198,2.5,0.4,0.45,9.67,7.2,46
17/12/2019,271,7.4,198,3,0.4,0.45,7.32,7.17,37
17/12/2019,271,7.4,198,3.5,0.4,0.45,8.96,7.16,36
