Raw_Turbidity,Raw_Colour,Raw_PH,PAC,KMnO4,ACD,Turbidity_class
35.18,136.0,7.55,1.0,0.12,0.2,low
32.3,199.0,7.4,1.5,0.2,0.15,low
37.47,200.0,7.91,2.5,0.16,0.16,low
168.0,500.0,7.45,3.5,0.3,0.35,low
19.12,150.0,7.55,1.0,0.12,0.16,low
23.5,352.0,6.65,4.5,0.5,0.75,medium
14.9,195.0,7.55,0.5,0.12,0.1,medium
135.0,500.0,7.35,2.5,0.17,0.2,low
423.0,500.0,6.57,6.0,0.45,0.8,high
9.75,103.0,8.6,0.8,0.08,0.1,low
79.3,355.0,6.55,3.0,0.4,0.45,medium
142.0,500.0,6.75,5.0,0.4,0.25,high
247.0,500.0,7.5,2.0,0.2,0.32,low
59.9,500.0,7.12,3.0,0.35,0.45,high
25.1,225.0,6.8,2.0,0.2,0.35,low
27.2,352.0,6.8,4.0,0.35,0.5,medium
18.2,156.0,7.06,3.5,0.16,0.25,medium
36.2,300.0,6.89,4.0,0.2,0.3,high
48.9,500.0,7.52,1.0,0.17,0.25,high
280.0,500.0,6.98,5.5,0.5,0.75,medium
23.0,410.0,6.99,3.0,0.5,0.3,medium
39.9,490.0,7.04,2.5,0.45,0.65,high
137.2,500.0,7.11,6.0,0.4,0.75,high
18.1,294.0,6.35,2.0,0.5,0.75,medium
36.1,300.0,6.88,4.0,0.2,0.3,high
29.1,310.0,6.91,3.0,0.45,0.4,medium
41.2,20.0,6.52,3.0,0.2,0.35,low
28.5,290.0,6.92,5.5,0.5,0.75,high
43.6,481.0,6.51,4.0,0.6,0.4,medium
297.5,500.0,7.52,4.5,0.25,0.35,low
112.6,500.0,6.98,3.5,0.6,0.3,medium
180.0,500.0,6.79,5.0,0.2,0.35,medium
57.6,380.0,6.51,3.0,0.5,0.35,medium
53.2,500.0,7.4,1.5,0.8,0.2,low
450.0,500.0,6.9,6.5,0.52,0.75,medium
73.1,390.0,6.9,3.5,0.7,0.3,medium
31.2,178.0,6.8,4.5,0.65,0.25,high
38.0,359.0,7.0,3.0,0.4,0.65,medium
33.9,195.0,7.56,3.0,0.24,0.15,low
271.1,500.0,6.78,5.0,0.75,0.35,high
63.1,390.0,6.91,3.0,0.3,0.45,high
29.0,298.0,6.95,2.5,0.4,0.6,medium
20.1,250.0,6.7,3.5,0.5,0.3,low
438.0,500.0,8.19,2.0,0.4,0.75,high
38.2,500.0,6.62,3.5,0.6,0.25,medium
69.5,482.0,7.25,3.5,0.4,0.75,high
31.5,310.0,6.81,3.5,0.4,0.35,medium
36.8,298.0,6.62,5.5,0.5,0.3,high
49.1,427.0,6.23,4.0,0.25,0.4,medium
36.2,250.0,7.58,1.5,0.12,0.16,low
12.8,120.0,7.52,1.0,0.15,0.25,low
38.2,500.0,6.62,4.0,0.6,0.25,medium
56.7,500.0,6.64,4.0,0.35,0.4,medium
69.5,482.0,7.25,4.0,0.4,0.75,high
51.0,395.0,6.88,3.5,0.4,0.3,high
58.2,400.0,7.25,2.5,0.11,0.15,low
41.2,412.0,6.66,5.5,0.5,0.25,high
17.93,199.0,7.55,0.5,0.15,0.2,high
490.0,500.0,6.83,4.5,0.6,0.75,high
56.1,310.0,6.91,2.5,0.6,0.35,high
210.8,500.0,6.82,4.0,0.5,0.3,medium
28.5,290.0,6.92,3.5,0.5,0.75,high
193.7,500.0,7.47,4.0,0.26,0.27,low
6.61,152.0,7.55,1.2,0.12,0.15,low
167.0,500.0,6.81,2.5,0.4,0.55,medium
37.5,186.0,7.46,1.0,0.15,0.18,low
23.6,252.0,7.55,0.2,0.8,2.0,low
99.1,310.0,6.85,2.5,0.4,0.3,high
58.2,400.0,7.25,2.0,0.11,0.15,low
32.6,289.0,6.75,4.5,0.6,0.25,high
22.5,180.0,6.91,5.0,0.65,0.3,medium
350.0,190.0,7.55,5.0,0.32,0.35,low
38.2,180.0,7.56,2.5,0.15,0.12,low
33.1,310.0,6.78,2.0,0.55,0.3,medium
53.1,490.0,6.81,4.5,0.25,0.35,high
106.7,500.0,6.42,7.5,0.3,0.3,high
58.61,92.0,7.61,2.5,0.1,0.12,low
27.8,159.0,7.49,2.0,0.24,0.15,medium
70.1,180.0,6.55,3.5,0.4,0.35,medium
122.0,500.0,7.59,6.0,0.2,0.35,medium
42.5,386.0,7.02,6.5,0.45,0.75,high
71.1,390.0,6.73,3.5,0.72,0.4,medium
120.0,280.0,7.56,1.5,0.12,0.21,low
61.4,121.0,7.47,4.0,0.15,0.2,medium
117.0,500.0,6.85,4.0,0.9,0.35,high
26.4,270.0,6.91,4.5,0.2,0.3,medium
26.4,334.0,6.48,3.5,0.52,0.65,low
210.0,500.0,6.85,3.0,0.5,0.4,high
75.31,500.0,7.62,1.5,0.32,0.45,medium
99.1,500.0,6.85,4.0,0.6,0.35,high
20.0,500.0,7.45,2.0,0.19,0.25,low
19.1,289.0,6.82,4.5,0.6,0.75,medium
25.4,185.0,7.74,1.0,0.12,0.15,low
63.2,394.0,7.02,5.0,0.5,0.75,high
210.0,500.0,6.99,3.5,0.75,0.4,high
61.9,488.0,7.25,6.0,0.4,0.75,medium
49.1,390.0,6.75,4.0,0.35,0.45,medium
39.3,199.0,7.45,2.0,0.18,0.2,low
43.5,500.0,6.31,4.5,0.42,0.75,medium
20.6,264.0,7.14,3.0,0.08,0.2,medium
32.5,390.0,6.78,4.0,0.55,0.35,medium
56.1,310.0,6.91,3.5,0.6,0.35,high
33.6,289.0,6.81,4.5,0.6,0.3,high
51.0,395.0,6.88,5.0,0.4,0.3,high
218.6,500.0,6.78,3.0,0.5,0.4,high
22.1,179.0,7.42,1.5,0.2,0.15,low
22.02,160.0,7.58,3.0,0.18,0.25,low
28.5,225.0,7.49,0.1,0.75,1.5,low
18.7,500.0,7.55,0.5,0.12,0.15,low
58.1,420.0,6.91,4.5,0.3,0.4,high
107.2,500.0,7.11,4.5,0.4,0.75,medium
31.1,311.0,6.71,2.5,0.15,0.35,high
14.21,156.0,7.54,0.4,0.09,0.1,medium
77.0,500.0,6.91,2.5,0.5,0.4,medium
