Date,Raw_Turbidity,Raw_PH,Raw_Colour,PAC,KMnO4,ACD,Turbidity,PH,Colour
31/12/2019,90.4,7.07,500.0,2.5,0.4,0.5,19.0,7.07,48.0
31/12/2019,90.4,7.07,500.0,3.0,0.4,0.5,14.2,7.05,39.0
31/12/2019,90.4,7.07,500.0,3.5,0.4,0.5,12.6,7.02,31.0
31/12/2019,90.4,7.07,500.0,4.0,0.4,0.5,10.6,6.98,27.0
31/12/2019,90.4,7.07,500.0,4.5,0.4,0.5,10.7,6.93,29.0
31/12/2019,90.4,7.07,500.0,5.0,0.4,0.5,13.6,6.9,34.0
31/12/2019,45.5,6.98,375.0,2.5,0.25,0.35,19.0,7.12,32.0
31/12/2019,45.5,6.98,375.0,3.0,0.25,0.35,10.0,7.25,19.0
31/12/2019,45.5,6.98,375.0,3.5,0.25,0.35,14.0,7.26,21.0
31/12/2019,45.5,6.98,375.0,4.0,0.25,0.35,18.0,7.29,24.0
31/12/2019,45.5,6.98,375.0,4.5,0.25,0.35,27.0,7.22,30.0
30/12/2019,23.2,6.99,298.0,2.0,0.25,0.35,21.0,7.0,30.0
30/12/2019,23.2,6.99,298.0,2.5,0.25,0.35,15.0,7.09,27.0
30/12/2019,23.2,6.99,298.0,3.0,0.25,0.35,9.0,7.25,17.0
30/12/2019,23.2,6.99,298.0,3.5,0.25,0.35,13.0,7.28,21.0
30/12/2019,23.2,6.99,298.0,4.0,0.25,0.35,19.0,7.19,25.0
30/12/2019,23.2,6.99,298.0,4.5,0.25,0.35,28.0,7.12,39.0
30/12/2019,21.1,7.01,310.0,2.5,0.25,0.35,11.0,7.0,23.0
30/12/2019,21.1,7.01,310.0,3.0,0.25,0.35,9.0,6.99,20.0
30/12/2019,21.1,7.01,310.0,3.5,0.25,0.35,13.0,7.01,29.0
30/12/2019,21.1,7.01,310.0,4.0,0.25,0.35,12.0,7.02,31.0
30/12/2019,21.1,7.01,310.0,4.5,0.25,0.35,14.0,7.03,33.0
